"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"skpo-2",9.89432958422631,-2.39674745639051,1.01293381079287,0.000139296349380977,0.00443287251775645
"cest-4",167.023803369528,0.707544422388019,0.156227355943785,0.000571186307540549,0.0159754779059323
"C23H3.9",9.20726546653455,-1.2926399010774,1.01280070361532,0.00136283542746458,0.0338118343243692
"C25H3.10",126.750566764918,-0.969212594356608,0.235722207904954,7.37739368857282e-05,0.00252626644712117
"C26B9.3",15.5050889969453,-2.25307386295447,0.668051330144334,2.39089998023769e-05,0.000940716075658913
"C30F12.5",140.605958129005,-0.698428023789149,0.176309233010251,0.00137374068970838,0.0339887600316309
"C33G8.2",53.3276434796227,-1.96157344300964,0.296844632213773,3.25177520026216e-10,2.9285487453561e-08
"noah-1",260.929676274574,-3.90403683755533,0.357242532262392,3.10767565213132e-24,2.15290207100729e-21
"ttr-33",105.665881688947,-0.813726687179802,0.207774787078588,0.000396683190666636,0.0116369016779926
"srlf-7",1397.08198981985,-0.648614346298531,0.123398420186734,0.000527474715862232,0.0148916529500165
"C42D4.3",23.1433052148985,-1.08433533369217,0.506728944384142,0.000829027235831996,0.0218950712196568
"fbxc-52",65.6194580287443,0.807280971791738,0.244743774528228,0.00100408254512112,0.0261351658998867
"C48B6.2",125.43782020803,1.90864731335445,0.19232979035357,1.28709719388259e-18,3.99710252693331e-16
"cyp-35A4",24.5920482781631,1.53999492405346,0.500657933952057,6.28349690888445e-05,0.00218491016067233
"C50D2.1",14.7534956313401,-2.42013084647353,0.693874850758207,1.98472592681313e-05,0.000808798266827106
"C50F7.5",217.893078294848,-1.07414548079319,0.153134994497204,1.02314311813948e-08,6.89776048208522e-07
"C53H9.2",149.418823705302,0.824404905324441,0.193010049413161,0.000197994381614242,0.00610663493430776
"D1014.5",16.1034727117976,-6.79023286830344,1.19346720281631,4.23270254033453e-09,3.07417089340748e-07
"ugt-57",71.8645259227603,-1.09202877169251,0.246002312915335,1.65595754509292e-05,0.000680984184982046
"ugt-39",108.833662327868,2.05103724716846,0.211659850171411,4.17776097754876e-18,1.07499758182298e-15
"F10D2.8",20.6799409131252,3.99252750509741,0.630690686447956,1.40237028031364e-09,1.10787252144777e-07
"F11C7.2",70.8573278069056,-0.74661156972862,0.233366370161252,0.0019259577308445,0.0458867072063111
"cest-33",198.530648453821,0.788806995306115,0.162282875483905,0.000106108601107544,0.00346236978831356
"F13H8.2",208.548021280682,0.672987928896632,0.146178347111093,0.000861378283422014,0.0226168303804626
"F13H8.5",13.9996856340557,-5.67425580797801,1.21781971666883,9.3436518347304e-07,4.33757363008154e-05
"nstp-2",307.533589919722,0.708076516796158,0.143400219306279,0.000305896517225803,0.00924464440985095
"lgc-22",16.2338802261864,-3.33548301688107,0.631931781095192,2.4052525543113e-07,1.21015108961606e-05
"pud-3",22.0272128175835,3.57262875961183,0.556926727212435,1.24474521855338e-09,1.02816573157846e-07
"F16B4.4",81.0156283841324,-1.47282323825702,0.271013430127816,1.675366080917e-07,8.72158781776793e-06
"F18C5.10",101.301497860067,-0.894444118408694,0.227560240438915,0.00018512359465536,0.00572928898098342
"F21C10.10",370.773128629643,-0.671592344477113,0.166256592886931,0.00177471580906505,0.0426215748705063
"asp-12",265.33893569726,-3.1647878052596,0.561078610550781,5.54366898847847e-08,3.15989132343273e-06
"ilys-5",202.958961402313,-1.1890770999751,0.177044253961206,1.09391302485857e-08,7.13897152309877e-07
